ride_id,driver_id,customer_id,start_time,end_time,distance_km,fare_usd,payment_id
RIDE_1,DRIVER_41,CUSTOMER_46,2025-01-16 01:23:12.191609,2025-01-16 03:10:12.191609,15.57,35.56,PAYMENT_1
RIDE_2,DRIVER_8,CUSTOMER_78,2025-01-27 09:23:12.191629,2025-01-27 11:05:12.191629,5.7,12.99,PAYMENT_2
RIDE_3,DRIVER_2,CUSTOMER_4,2025-01-21 11:23:12.191636,2025-01-21 12:29:12.191636,20.25,41.77,PAYMENT_3
RIDE_4,DRIVER_48,CUSTOMER_182,2025-01-20 07:23:12.191641,2025-01-20 08:42:12.191641,27.93,50.5,PAYMENT_4
RIDE_5,DRIVER_18,CUSTOMER_137,2025-01-08 10:23:12.191646,2025-01-08 11:00:12.191646,25.06,67.82,PAYMENT_5
RIDE_6,DRIVER_16,CUSTOMER_33,2025-01-11 01:23:12.191651,2025-01-11 02:27:12.191651,3.67,7.76,PAYMENT_6
RIDE_7,DRIVER_15,CUSTOMER_71,2025-01-31 00:23:12.191656,2025-01-31 00:46:12.191656,1.19,1.98,PAYMENT_7
RIDE_8,DRIVER_9,CUSTOMER_12,2025-01-12 10:23:12.191664,2025-01-12 12:07:12.191664,5.29,11.32,PAYMENT_8
RIDE_9,DRIVER_48,CUSTOMER_14,2025-01-30 10:23:12.191670,2025-01-30 12:19:12.191670,41.37,98.38,PAYMENT_9
RIDE_10,DRIVER_7,CUSTOMER_142,2025-01-29 03:23:12.191676,2025-01-29 04:56:12.191676,31.63,59.84,PAYMENT_10
RIDE_11,DRIVER_44,CUSTOMER_75,2025-01-11 08:23:12.191681,2025-01-11 10:09:12.191681,24.54,56.54,PAYMENT_11
RIDE_12,DRIVER_48,CUSTOMER_179,2025-01-23 12:23:12.191686,2025-01-23 13:04:12.191686,5.75,13.5,PAYMENT_12
RIDE_13,DRIVER_35,CUSTOMER_33,2025-01-08 23:23:12.191691,2025-01-09 00:11:12.191691,11.14,26.93,PAYMENT_13
RIDE_14,DRIVER_6,CUSTOMER_164,2025-01-03 01:23:12.191695,2025-01-03 01:37:12.191695,32.27,96.41,PAYMENT_14
RIDE_15,DRIVER_38,CUSTOMER_193,2025-01-05 16:23:12.191700,2025-01-05 17:30:12.191700,48.88,102.46,PAYMENT_15
RIDE_16,DRIVER_28,CUSTOMER_126,2025-01-22 18:23:12.191705,2025-01-22 19:06:12.191705,24.2,43.69,PAYMENT_16
RIDE_17,DRIVER_3,CUSTOMER_27,2025-01-13 23:23:12.191714,2025-01-14 00:17:12.191714,6.66,15.51,PAYMENT_17
RIDE_18,DRIVER_2,CUSTOMER_4,2025-01-28 09:23:12.191720,2025-01-28 11:23:12.191720,39.46,92.19,PAYMENT_18
RIDE_19,DRIVER_6,CUSTOMER_147,2025-01-23 00:23:12.191725,2025-01-23 02:17:12.191725,24.08,42.58,PAYMENT_19
RIDE_20,DRIVER_14,CUSTOMER_73,2025-01-09 23:23:12.191729,2025-01-09 23:44:12.191729,44.85,104.89,PAYMENT_20
RIDE_21,DRIVER_15,CUSTOMER_121,2025-01-20 16:23:12.191734,2025-01-20 17:29:12.191734,13.99,31.14,PAYMENT_21
RIDE_22,DRIVER_33,CUSTOMER_123,2025-01-12 22:23:12.191739,2025-01-13 00:23:12.191739,32.45,96.79,PAYMENT_22
RIDE_23,DRIVER_39,CUSTOMER_113,2025-01-30 11:23:12.191744,2025-01-30 11:48:12.191744,19.99,47.31,PAYMENT_23
RIDE_24,DRIVER_2,CUSTOMER_88,2025-01-15 08:23:12.191749,2025-01-15 10:12:12.191749,19.18,51.04,PAYMENT_24
RIDE_25,DRIVER_36,CUSTOMER_48,2025-01-12 10:23:12.191767,2025-01-12 12:16:12.191767,19.69,41.29,PAYMENT_25
RIDE_26,DRIVER_13,CUSTOMER_14,2025-01-06 16:23:12.191772,2025-01-06 17:03:12.191772,10.14,17.31,PAYMENT_26
RIDE_27,DRIVER_46,CUSTOMER_65,2025-01-10 22:23:12.191776,2025-01-10 22:59:12.191776,3.19,8.92,PAYMENT_27
RIDE_28,DRIVER_42,CUSTOMER_123,2025-01-05 21:23:12.191780,2025-01-05 23:16:12.191780,22.55,37.85,PAYMENT_28
RIDE_29,DRIVER_45,CUSTOMER_30,2025-01-11 04:23:12.191785,2025-01-11 06:07:12.191785,13.91,25.66,PAYMENT_29
RIDE_30,DRIVER_35,CUSTOMER_17,2025-01-30 00:23:12.191790,2025-01-30 01:48:12.191790,42.02,112.39,PAYMENT_30
RIDE_31,DRIVER_27,CUSTOMER_103,2025-01-11 07:23:12.191794,2025-01-11 09:01:12.191794,28.65,83.77,PAYMENT_31
RIDE_32,DRIVER_15,CUSTOMER_126,2025-01-16 09:23:12.191799,2025-01-16 10:17:12.191799,8.41,13.88,PAYMENT_32
RIDE_33,DRIVER_29,CUSTOMER_19,2025-02-01 09:23:12.191804,2025-02-01 11:23:12.191804,35.13,79.48,PAYMENT_33
RIDE_34,DRIVER_38,CUSTOMER_148,2025-01-23 15:23:12.191809,2025-01-23 17:03:12.191809,5.74,15.38,PAYMENT_34
RIDE_35,DRIVER_18,CUSTOMER_162,2025-01-26 10:23:12.191813,2025-01-26 11:51:12.191813,33.74,91.14,PAYMENT_35
RIDE_36,DRIVER_1,CUSTOMER_176,2025-01-08 05:23:12.191818,2025-01-08 06:53:12.191818,40.6,98.29,PAYMENT_36
RIDE_37,DRIVER_49,CUSTOMER_14,2025-01-26 13:23:12.191823,2025-01-26 14:27:12.191823,21.29,53.8,PAYMENT_37
RIDE_38,DRIVER_11,CUSTOMER_39,2025-01-28 16:23:12.191828,2025-01-28 16:54:12.191828,38.07,60.08,PAYMENT_38
RIDE_39,DRIVER_45,CUSTOMER_39,2025-01-30 11:23:12.191833,2025-01-30 12:51:12.191833,12.15,25.32,PAYMENT_39
RIDE_40,DRIVER_28,CUSTOMER_145,2025-01-05 17:23:12.191837,2025-01-05 17:50:12.191837,3.99,9.79,PAYMENT_40
RIDE_41,DRIVER_22,CUSTOMER_78,2025-01-16 03:23:12.191842,2025-01-16 05:13:12.191842,19.97,54.05,PAYMENT_41
RIDE_42,DRIVER_18,CUSTOMER_22,2025-01-05 21:23:12.191847,2025-01-05 21:59:12.191847,26.61,72.78,PAYMENT_42
RIDE_43,DRIVER_10,CUSTOMER_64,2025-01-04 04:23:12.191851,2025-01-04 06:17:12.191851,48.32,106.67,PAYMENT_43
RIDE_44,DRIVER_14,CUSTOMER_31,2025-01-30 23:23:12.191856,2025-01-30 23:59:12.191856,34.67,83.22,PAYMENT_44
RIDE_45,DRIVER_49,CUSTOMER_143,2025-01-22 01:23:12.191860,2025-01-22 03:16:12.191860,46.88,76.52,PAYMENT_45
RIDE_46,DRIVER_22,CUSTOMER_196,2025-01-28 01:23:12.191865,2025-01-28 01:40:12.191865,29.06,55.06,PAYMENT_46
RIDE_47,DRIVER_7,CUSTOMER_107,2025-01-20 16:23:12.191870,2025-01-20 17:45:12.191870,12.55,25.81,PAYMENT_47
RIDE_48,DRIVER_6,CUSTOMER_156,2025-01-27 15:23:12.191874,2025-01-27 16:17:12.191874,15.64,37.75,PAYMENT_48
RIDE_49,DRIVER_25,CUSTOMER_153,2025-01-05 22:23:12.191879,2025-01-05 23:41:12.191879,20.35,52.64,PAYMENT_49
RIDE_50,DRIVER_7,CUSTOMER_159,2025-01-08 01:23:12.191884,2025-01-08 02:08:12.191884,42.84,124.07,PAYMENT_50
RIDE_51,DRIVER_23,CUSTOMER_58,2025-01-07 15:23:12.191888,2025-01-07 16:49:12.191888,2.7,5.67,PAYMENT_51
RIDE_52,DRIVER_23,CUSTOMER_199,2025-01-09 06:23:12.191892,2025-01-09 07:41:12.191892,28.99,72.02,PAYMENT_52
RIDE_53,DRIVER_39,CUSTOMER_134,2025-01-31 07:23:12.191896,2025-01-31 07:54:12.191896,26.32,50.79,PAYMENT_53
RIDE_54,DRIVER_17,CUSTOMER_98,2025-01-20 23:23:12.191900,2025-01-21 00:14:12.191900,29.0,85.41,PAYMENT_54
RIDE_55,DRIVER_3,CUSTOMER_116,2025-01-09 13:23:12.191905,2025-01-09 15:03:12.191905,49.15,77.96,PAYMENT_55
RIDE_56,DRIVER_47,CUSTOMER_114,2025-01-18 01:23:12.191909,2025-01-18 02:10:12.191909,8.22,21.87,PAYMENT_56
RIDE_57,DRIVER_30,CUSTOMER_77,2025-01-22 21:23:12.191914,2025-01-22 22:10:12.191914,47.51,83.76,PAYMENT_57
RIDE_58,DRIVER_35,CUSTOMER_151,2025-01-07 06:23:12.191919,2025-01-07 07:46:12.191919,23.0,51.56,PAYMENT_58
RIDE_59,DRIVER_8,CUSTOMER_110,2025-01-25 03:23:12.191923,2025-01-25 04:07:12.191923,47.5,72.01,PAYMENT_59
RIDE_60,DRIVER_25,CUSTOMER_79,2025-01-25 11:23:12.191928,2025-01-25 13:22:12.191928,9.19,25.51,PAYMENT_60
RIDE_61,DRIVER_6,CUSTOMER_146,2025-01-07 05:23:12.191933,2025-01-07 06:38:12.191933,11.38,32.96,PAYMENT_61
RIDE_62,DRIVER_36,CUSTOMER_159,2025-01-04 14:23:12.191938,2025-01-04 15:59:12.191938,10.44,23.77,PAYMENT_62
RIDE_63,DRIVER_19,CUSTOMER_16,2025-01-20 23:23:12.191942,2025-01-21 01:17:12.191942,3.09,5.54,PAYMENT_63
RIDE_64,DRIVER_41,CUSTOMER_157,2025-01-14 06:23:12.191947,2025-01-14 06:45:12.191947,4.84,12.95,PAYMENT_64
RIDE_65,DRIVER_40,CUSTOMER_190,2025-01-18 11:23:12.191952,2025-01-18 11:50:12.191952,34.47,78.1,PAYMENT_65
